first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Conroy,Rappaport,M,39,1965-01-08,Assistant Manager,Health,High Net Worth,False,False,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.158125
Dorian,Rustman,M,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,False,False,18,6156 Summit Center,4352,QLD,Australia,7,181,1.158125
Quillan,Guinane,M,36,1946-03-24,Community Outreach Specialist,,High Net Worth,False,True,21,803 Badeau Point,2177,NSW,Australia,8,181,1.158125
Harlin,Mazin,M,34,1974-03-25,Computer Systems Analyst I,Manufacturing,Mass Customer,False,True,13,735 Westridge Road,2454,NSW,Australia,7,181,1.158125
Eustacia,Dornan,F,68,1985-09-02,Account Representative IV,Property,Mass Customer,False,False,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.158125
Maury,Galego,M,65,1992-07-27,Social Worker,Health,High Net Worth,False,True,3,370 Division Junction,3032,VIC,Australia,10,181,1.158125
Reggie,Kernar,F,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,False,False,17,90 Northport Hill,2228,NSW,Australia,10,181,1.158125
Brigitte,Whellams,F,67,1973-05-09,Payment Adjustment Coordinator,,Mass Customer,False,True,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.15625
Kinna,Kollasch,F,7,1986-11-09,Safety Technician I,Property,High Net Worth,False,False,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625
Maurizio,Comi,M,74,1996-05-30,VP Product Management,IT,Affluent Customer,False,False,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.15546875
Elbertina,Fendley,F,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,False,False,8,743 Debra Court,2117,NSW,Australia,11,191,1.15
Franklin,Wohler,M,55,1938-10-16,Clinical Specialist,Health,Mass Customer,False,True,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15
Allyson,Petchell,F,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,False,False,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15
Ermentrude,Heindle,F,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,False,False,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15
Alanna,Lerway,F,26,1944-01-05,Dental Hygienist,Health,Mass Customer,False,True,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.1475
Vincent,Jopke,M,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,False,False,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.1475
Mandie,Jeffryes,F,60,1981-02-16,Business Systems Development Analyst,,High Net Worth,False,False,7,96515 Di Loreto Pass,4109,QLD,Australia,9,195,1.1475
Collete,Dory,F,66,1990-01-09,Information Systems Manager,,High Net Worth,False,False,2,8625 Dakota Plaza,2210,NSW,Australia,9,195,1.1475
Leonid,Dorricott,M,44,1993-11-18,Environmental Tech,,Affluent Customer,False,False,3,02 Hoffman Road,2448,NSW,Australia,3,195,1.1475
Charlena,Berney,F,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,False,True,12,496 Logan Center,4207,QLD,Australia,4,195,1.1475
Alfonso,Massel,M,70,1940-12-05,,,Mass Customer,False,True,13,6065 Talisman Crossing,3977,VIC,Australia,7,201,1.1421875
Engracia,Dobbs,F,84,1959-04-19,,Health,Mass Customer,False,False,15,72 Eliot Place,2250,NSW,Australia,8,202,1.140625
Glyn,,M,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,False,True,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625
Rosemonde,Cartwight,F,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,False,True,7,518 Paget Hill,4605,QLD,Australia,1,202,1.140625
Alano,Satchel,M,2,1998-11-26,Recruiting Manager,,Mass Customer,False,False,2,87107 Shelley Crossing,2429,NSW,Australia,7,202,1.140625
Corrine,Baribal,F,19,1948-10-12,Senior Sales Associate,,Affluent Customer,False,True,12,3 Mallory Circle,2170,NSW,Australia,8,206,1.1375
Benoit,Harniman,M,31,1976-08-27,Research Assistant II,Telecommunications,Affluent Customer,False,False,9,1582 Bashford Drive,4018,QLD,Australia,7,206,1.1375
Jeanne,Darte,F,70,1955-08-18,,,Mass Customer,False,True,11,3 Homewood Park,2756,NSW,Australia,7,206,1.1375
Jenelle,Fearnill,F,12,1958-01-03,Social Worker,Health,High Net Worth,False,False,19,06 Old Gate Park,2144,NSW,Australia,9,206,1.1375
Tannie,Gambrell,M,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,False,False,4,49 Surrey Point,4710,QLD,Australia,4,206,1.1375
Mick,Macewan,M,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,False,False,16,59254 Northland Alley,2032,NSW,Australia,10,206,1.1375
Abbie,Oldman,M,82,1983-11-26,,Health,High Net Worth,False,True,5,4 North Drive,2168,NSW,Australia,8,212,1.136875
Tabbie,Curner,M,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,False,False,6,89 Parkside Street,3021,VIC,Australia,6,212,1.136875
Shane,Killen,M,28,1956-10-16,Account Executive,Entertainment,High Net Worth,False,False,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.136875
Roberta,Goodale,F,9,1947-02-28,Information Systems Manager,Property,Mass Customer,False,True,22,013 David Junction,4211,QLD,Australia,7,215,1.12890625
Kippy,Barabisch,M,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,False,False,4,840 Graceland Street,2125,NSW,Australia,11,215,1.12890625
Rosalinde,Cubuzzi,F,50,1997-09-04,Business Systems Development Analyst,,Mass Customer,False,False,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.12890625
Cami,Barnbrook,F,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,False,True,18,890 Truax Lane,4285,QLD,Australia,2,218,1.12625
Dorian,Stollen,M,78,1980-02-16,Statistician I,Financial Services,Mass Customer,False,True,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.125
Hunfredo,Hayball,M,7,1994-04-15,,IT,Affluent Customer,False,False,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.125
Giorgi,O'Shirine,M,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,False,True,15,6 Novick Alley,3934,VIC,Australia,8,219,1.125
Kort,Disley,M,66,1979-02-05,Technical Writer,Health,Mass Customer,False,True,7,76 Donald Trail,2160,NSW,Australia,9,219,1.125
Gretna,Thredder,F,62,1966-01-08,,,Mass Customer,False,False,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.115625
Tobiah,Heinsius,M,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,False,False,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.115625
Wallace,Newart,M,91,1977-12-06,,IT,Mass Customer,False,False,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.115625
Hersh,Stubbert,M,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,False,True,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.1125
Hatti,Carletti,,35,,Legal Assistant,IT,Affluent Customer,False,True,11,6 Iowa Center,2519,NSW,Australia,9,226,1.1125
Wyn,Saynor,M,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,False,False,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.1125
Maribeth,Stivani,F,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,False,False,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.1125
Abigale,Sives,F,48,1963-12-13,VP Marketing,Health,Affluent Customer,False,True,14,2 Glendale Center,4207,QLD,Australia,4,230,1.109375
Gothart,Artus,M,52,1978-05-31,Health Coach IV,Health,Mass Customer,False,True,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.105
Danny,Bodle,M,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,False,True,18,68 Anthes Park,2007,NSW,Australia,9,231,1.105
Vittorio,Boxen,M,94,1965-08-15,Mechanical Systems Engineer,,Mass Customer,False,False,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1
Deborah,Petrovsky,F,53,1943-07-14,Teacher,Property,Mass Customer,False,False,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1
Agace,Hedge,F,25,1997-07-23,Media Manager II,,Mass Customer,False,True,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1
Rolland,Esmead,M,41,1940-07-13,,Health,Affluent Customer,False,False,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1
Latrena,Walklate,F,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,False,True,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.094375
Mariquilla,Springthorpe,F,30,1939-04-04,Director of Sales,,Mass Customer,False,True,8,811 Melrose Park,2224,NSW,Australia,10,237,1.094375
Leticia,Danovich,F,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,False,True,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.094375
Harman,Lynds,M,4,1961-05-27,Professor,,Mass Customer,False,True,5,538 Gina Way,4105,QLD,Australia,8,240,1.09
Farra,Matyushkin,F,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,False,True,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.0875
Robenia,Monks,F,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,False,False,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.0875
Roman,Eastwood,M,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,False,True,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.0875
Solomon,Bruck,M,29,1957-11-15,Junior Executive,Health,Mass Customer,False,False,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08375
Krystyna,Airey,F,2,1950-09-05,Safety Technician II,,Mass Customer,False,True,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08375
Katharine,Redbourn,F,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,False,True,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08375
Cammy,Stoneham,F,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,False,False,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08375
Ellsworth,Andrieux,M,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,False,True,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.078125
Federico,Leuty,M,59,1978-12-11,Product Engineer,Property,High Net Worth,False,True,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.07578125
Ferdy,Hornung,M,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,False,False,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.075
Sunny,Christescu,F,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,False,False,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.075
Shadow,Yakutin,M,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,False,True,6,06 Dwight Park,4119,QLD,Australia,2,252,1.073125
Sharai,Priddie,F,13,1961-01-16,Sales Representative,Retail,Mass Customer,False,False,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.073125
Celeste,Fretson,F,91,1980-09-16,Product Engineer,IT,Mass Customer,False,False,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.073125
Lea,Ilyinski,F,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,False,False,12,895 Glendale Park,2026,NSW,Australia,12,252,1.073125
Dyann,Olechnowicz,F,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,False,False,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.073125
Delly,Sunman,F,49,1959-04-11,Account Coordinator,Retail,Mass Customer,False,False,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.073125
Malvin,Ryhorovich,M,37,1962-03-03,Quality Control Specialist,,Mass Customer,False,False,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.073125
Tanya,Hamberston,F,45,2000-09-25,Product Engineer,,Mass Customer,False,True,9,7 Schiller Point,4113,QLD,Australia,6,259,1.0625
Kaela,Romaines,F,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,False,False,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.0625
Evonne,Bembridge,F,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,False,True,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.0625
Shannen,Lewin,F,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,False,False,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.0625
Bogey,Attew,M,88,1992-11-18,Software Engineer II,IT,Mass Customer,False,True,10,4 Monterey Road,4165,QLD,Australia,9,259,1.0625
Zondra,Ringham,F,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,False,True,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.0625
Barnebas,Apfel,M,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,False,True,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.0625
Alleen,Eaken,F,56,1938-08-31,,,Mass Customer,False,False,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.0625
Gerri,Schimann,F,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,False,True,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.0625
Antonietta,Egle,F,82,1973-09-25,Actuary,Financial Services,Mass Customer,False,False,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.0625
Raff,Waycott,M,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,False,True,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.0625
Lark,Gonet,F,89,1972-01-17,Database Administrator II,Health,High Net Worth,False,False,8,261 Orin Center,2763,NSW,Australia,8,259,1.0625
Cletis,Longley,M,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,False,True,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06
Bartram,Di Lucia,M,70,1961-01-03,,Argiculture,Mass Customer,False,True,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06
Theresa,Cowper,F,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,False,False,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06
Philbert,Raraty,M,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,False,False,6,10 Dexter Park,2177,NSW,Australia,9,274,1.051875
Egon,Ortells,M,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,False,False,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.051875
Dahlia,Shovlar,F,90,1966-03-07,Environmental Specialist,,Affluent Customer,False,True,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.051875
Timi,Duny,F,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,False,False,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.051875
Dominick,Asher,M,50,1962-10-06,Research Associate,Health,Affluent Customer,False,True,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05
Raye,Roo,F,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,False,True,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05
Becka,Hacon,F,81,1965-07-03,General Manager,Financial Services,Affluent Customer,False,False,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05
Cirillo,Frossell,M,7,1968-10-14,Graphic Designer,,Mass Customer,False,False,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05
Verla,Dumingos,F,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,False,True,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.04921875
Sherrie,Godleman,F,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,False,False,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.04921875
Dexter,Shutle,M,81,1959-01-05,Quality Control Specialist,,Mass Customer,False,False,17,07 Dayton Court,4005,QLD,Australia,7,284,1.046875
Konstanze,Hovie,F,88,1967-01-09,Pharmacist,Health,Mass Customer,False,False,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04125
Bink,Bentje,M,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,False,True,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04125
Taber,Szymon,M,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,False,False,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04
Debbi,Dannatt,F,2,1958-12-28,Technical Writer,,Affluent Customer,False,False,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04
Giana,Staresmeare,F,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,False,True,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.0375
Morton,Petkens,M,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,False,True,10,385 Montana Place,3012,VIC,Australia,1,289,1.0375
Vittoria,Whitney,F,95,1981-06-03,Research Assistant I,,High Net Worth,False,False,12,3 Surrey Court,2019,NSW,Australia,11,291,1.0359375
Paquito,Atwood,M,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,False,False,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.0359375
Dimitri,Tribbeck,M,89,1958-12-07,Chief Design Engineer,,Affluent Customer,False,False,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.0359375
Shelli,Bartholomaus,F,88,1963-05-11,Associate Professor,Health,Mass Customer,False,True,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.0359375
Kermit,Lebond,M,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,False,False,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03125
Biddie,Gorce,F,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,False,True,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03125
Rupert,Marrow,M,73,1970-08-08,,Property,High Net Worth,False,False,19,2 7th Way,2760,NSW,Australia,8,297,1.030625
Geoff,Sitford,M,97,1965-02-27,Account Executive,Financial Services,Mass Customer,False,True,4,7 Elgar Road,2148,NSW,Australia,8,297,1.030625
Ange,Chitham,F,91,1991-02-14,,Argiculture,Mass Customer,False,False,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.030625
Tiphanie,Blackader,F,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,False,False,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.030625
Zollie,Crinidge,M,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,False,True,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.030625
Daisy,Pollen,F,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,False,False,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03
Emelen,Bidnall,M,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,False,True,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03
Linette,Boman,F,56,1949-05-20,Account Executive,,Affluent Customer,False,False,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.025
Manya,Abramovici,F,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,False,True,13,8 Randy Park,4214,QLD,Australia,8,304,1.025
Brynna,Tivers,F,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,False,False,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.025
Art,Carolan,M,1,1954-11-09,Marketing Manager,,Affluent Customer,False,True,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.025
Alfi,Sabbins,F,63,1959-06-12,,Financial Services,High Net Worth,False,True,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.025
Loleta,Aberdalgy,F,45,1981-02-15,Occupational Therapist,Health,Mass Customer,False,False,11,99 Westend Court,2287,NSW,Australia,6,304,1.025
Aldric,Birney,M,21,1971-08-19,,Manufacturing,Mass Customer,False,True,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02265625
Natividad,Balducci,F,39,1991-02-07,,Property,High Net Worth,False,True,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02265625
Claudine,Dymick,F,28,1965-12-13,Design Engineer,Health,Mass Customer,False,False,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02
Seamus,Cains,M,61,1989-12-15,Teacher,Manufacturing,High Net Worth,False,False,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02
Guss,Karim,M,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,False,False,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02
Julietta,Setchfield,F,73,1992-01-31,Operator,,High Net Worth,False,True,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02
Roch,Symson,F,96,1978-05-13,Office Assistant I,Manufacturing,High Net Worth,False,False,18,016 Westport Park,3073,VIC,Australia,9,312,1.02
Audry,Fann,F,3,1957-10-17,Pharmacist,Health,Mass Customer,False,True,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02
Cecelia,Cisar,F,20,1985-03-26,,Property,Mass Customer,False,True,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02
Clari,Voas,F,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,False,True,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02
Zach,Hedman,M,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,False,True,4,62 Spaight Center,2566,NSW,Australia,9,320,1.015625
Paxon,Roomes,M,78,1976-11-06,Information Systems Manager,,High Net Worth,False,True,7,3 Express Lane,3021,VIC,Australia,7,320,1.015625
Parnell,Lamprey,M,23,1977-04-08,Engineer III,Financial Services,High Net Worth,False,False,12,7353 Mallard Junction,2165,NSW,Australia,6,322,1.0125
Honey,Gosdin,F,0,1981-11-29,Software Engineer I,Property,Mass Customer,False,False,17,066 Warner Trail,2582,NSW,Australia,9,322,1.0125
Sonny,McCart,M,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,False,False,9,52752 Barby Hill,3020,VIC,Australia,9,324,1.01
Rozamond,Turtle,,69,,Legal Assistant,IT,Mass Customer,False,True,3,57025 New Castle Street,3850,VIC,Australia,3,324,1.01
Deirdre,Burgoine,F,14,1955-01-08,Programmer III,Health,High Net Worth,False,False,7,0 Stoughton Park,3000,VIC,Australia,1,326,1.009375
Haleigh,,F,17,1952-05-19,Senior Sales Associate,Financial Services,Mass Customer,False,True,18,49 Jana Point,4503,QLD,Australia,4,326,1.009375
Aldridge,Poskitt,M,84,1982-02-10,VP Sales,,Mass Customer,False,False,12,7 Fordem Point,4161,QLD,Australia,5,326,1.009375
Zechariah,McReidy,M,32,1978-07-22,Technical Writer,Manufacturing,High Net Worth,False,False,21,797 Westend Street,4207,QLD,Australia,6,329,1.0
Carry,Costi,F,32,1972-11-26,Senior Developer,Property,Mass Customer,False,False,11,5316 Farwell Hill,2800,NSW,Australia,4,329,1.0
Alon,,M,17,1999-06-23,Accountant IV,,Affluent Customer,False,False,9,770 Crest Line Parkway,4218,QLD,Australia,3,329,1.0
Ahmed,Pickthorne,M,46,1959-12-25,Marketing Manager,,High Net Worth,False,True,15,50 American Street,2147,NSW,Australia,9,329,1.0
Nil,Shirer,M,64,1997-09-27,Librarian,Entertainment,Mass Customer,False,True,7,4793 Mcbride Pass,3013,VIC,Australia,8,329,1.0
Erhard,O'Moylane,M,33,1978-05-27,Media Manager I,Retail,Affluent Customer,False,True,9,01124 Dottie Lane,3630,VIC,Australia,2,334,0.9987499999999998
Vitia,Axtens,F,62,1945-08-08,Financial Advisor,Financial Services,Mass Customer,False,True,15,42681 Carey Alley,2011,NSW,Australia,10,334,0.9987499999999998
Haskell,Moxted,M,81,1943-08-27,Civil Engineer,Manufacturing,Mass Customer,False,False,7,2941 Talisman Alley,2145,NSW,Australia,9,334,0.9987499999999998
Ebony,Conrad,F,8,1999-10-24,Environmental Tech,Financial Services,Mass Customer,False,True,16,990 Hoffman Avenue,3029,VIC,Australia,7,334,0.9987499999999998
Lincoln,Boler,M,53,1976-01-24,Chief Design Engineer,,Affluent Customer,False,False,14,5 Summer Ridge Court,3207,VIC,Australia,8,338,0.99609375
Vladimir,Westmerland,M,18,1956-06-19,,Manufacturing,Mass Customer,False,True,18,102 Charing Cross Terrace,2640,NSW,Australia,4,338,0.99609375
Kylynn,Drowsfield,F,80,1975-03-28,Editor,,High Net Worth,False,True,7,5 Trailsway Avenue,3059,VIC,Australia,9,338,0.99609375
Nicole,Ruckhard,F,93,1969-10-09,Human Resources Manager,Health,Affluent Customer,False,True,17,23694 Leroy Place,4560,QLD,Australia,3,341,0.99
Celestina,Lethardy,F,38,1968-12-11,Software Consultant,IT,Mass Customer,False,True,11,53 Memorial Street,3163,VIC,Australia,10,341,0.99
Tannie,Petrakov,M,84,1951-11-27,Data Coordiator,IT,Affluent Customer,False,False,10,691 Valley Edge Alley,4078,QLD,Australia,6,341,0.99
Bessy,Saladin,F,22,1939-12-22,VP Marketing,Manufacturing,Mass Customer,False,True,16,60073 Pankratz Pass,4075,QLD,Australia,10,341,0.99
Diego,Van den Broek,M,17,1964-09-28,Business Systems Development Analyst,Manufacturing,Affluent Customer,False,True,13,8 Schlimgen Drive,4055,QLD,Australia,7,345,0.988125
Lucilia,Minshall,F,71,1952-04-15,,IT,Mass Customer,False,True,7,0237 Mallard Place,2750,NSW,Australia,8,345,0.988125
Cissiee,Pollington,F,43,1941-07-21,Associate Professor,Property,Mass Customer,False,True,7,69710 Northfield Center,2256,NSW,Australia,9,345,0.988125
Eddy,Sturch,M,22,1961-02-11,Software Consultant,Financial Services,High Net Worth,False,True,17,1 Kinsman Crossing,4158,QLD,Australia,6,345,0.988125
Caron,Kezar,F,11,1953-08-08,Social Worker,Health,Mass Customer,False,False,5,40553 Rigney Avenue,2835,NSW,Australia,1,349,0.9875
Sandor,Stirland,M,67,1981-05-26,Web Developer IV,Manufacturing,High Net Worth,False,False,12,48578 Farmco Park,3235,VIC,Australia,10,349,0.9875
Gallagher,Bromell,M,18,1956-12-02,Assistant Manager,,Mass Customer,False,False,17,91634 Badeau Crossing,4556,QLD,Australia,8,349,0.9875
Murial,Bulloch,F,59,1964-10-01,,Financial Services,Mass Customer,False,False,13,391 Old Shore Lane,2011,NSW,Australia,6,349,0.9875
Delinda,Ech,F,74,1944-10-21,Environmental Specialist,Argiculture,Mass Customer,False,True,17,28 Golf View Terrace,3101,VIC,Australia,10,349,0.9875
Hussein,Tapenden,M,19,1953-10-19,Pharmacist,Health,Affluent Customer,False,True,12,0197 Sachs Avenue,2747,NSW,Australia,8,349,0.9875
Giulietta,Garbott,F,59,2002-02-27,Technical Writer,,Affluent Customer,False,True,14,48297 Stuart Circle,3810,VIC,Australia,5,355,0.984375
Kaylyn,Jakaway,F,45,1980-07-30,Registered Nurse,Health,Affluent Customer,False,False,10,67 Heath Circle,2290,NSW,Australia,8,356,0.9828125
Brynn,Goodyear,F,30,1944-11-10,Human Resources Manager,Health,Mass Customer,False,True,11,3 Sheridan Lane,3075,VIC,Australia,7,356,0.9828125
Otis,,M,59,1971-01-11,Electrical Engineer,Manufacturing,Affluent Customer,False,False,12,04 Oakridge Plaza,2075,NSW,Australia,11,358,0.98
Tamas,Swatman,,65,,Assistant Media Planner,Entertainment,Affluent Customer,False,False,5,78 Clarendon Drive,4551,QLD,Australia,8,358,0.98
Pace,Clemonts,M,99,1990-07-28,Media Manager IV,Retail,High Net Worth,False,False,10,335 Cambridge Hill,3122,VIC,Australia,7,358,0.98
Tracy,Andrejevic,,71,,Programmer II,IT,Mass Customer,False,True,11,5675 Burning Wood Trail,3030,VIC,Australia,7,361,0.9775
Muffin,Grigolon,M,7,1979-10-31,Senior Editor,Telecommunications,Mass Customer,False,False,12,4597 Marcy Point,2232,NSW,Australia,10,361,0.9775
